CONTROL,rechomes_testers,rhgeo_testers,missing_testers,rechomes_addrs,rhgeo_addrs,missing_addrs,missing_testers_pct,missing_addrs_pct
NY-SA-2701-1,2,2,0,3,2,1,0,33.33333333333333
NY-SA-3302-1,2,1,1,4,3,1,50,25
NY-SA-3402-1,2,2,0,4,3,1,0,25
NY-SB-0202-1,2,2,0,5,4,1,0,20
NY-SB-1002-1,2,2,0,17,16,1,0,5.88235294117647
NY-SB-1402-1,2,2,0,7,6,1,0,14.285714285714285
NY-SB-1404-1,2,2,0,18,6,12,0,66.66666666666666
NY-SB-1602-1,2,1,1,4,3,1,50,25
NY-SB-1801-1,2,2,0,14,6,8,0,57.14285714285714
NY-SB-2218-1,2,2,0,3,2,1,0,33.33333333333333
NY-SB-2403-1,2,2,0,5,4,1,0,20
NY-SB-2506-1,2,2,0,4,2,2,0,50
NY-SB-2601-1,2,2,0,14,13,1,0,7.142857142857142
NY-SB-2603-1,2,1,1,2,1,1,50,50
NY-SB-2907-1,2,2,0,7,6,1,0,14.285714285714285
NY-SH-1201-1,2,2,0,6,5,1,0,16.666666666666664
NY-SH-1801-1,2,1,1,6,5,1,50,16.666666666666664
NY-SH-2107-1,2,1,1,4,3,1,50,25
NY-SH-2406-1,2,2,0,5,4,1,0,20
NY-SH-3708-1,2,2,0,4,3,1,0,25
OC-SA-0906-1,2,2,0,17,9,8,0,47.05882352941176
OC-SA-1901-1,2,2,0,9,8,1,0,11.11111111111111
OC-SB-0503-1,2,2,0,8,7,1,0,12.5
OC-SB-0703-1,1,1,0,6,5,1,0,16.666666666666664
OC-SB-0909-1,2,2,0,11,10,1,0,9.090909090909092
OC-SB-2502-1,1,1,0,5,4,1,0,20
OC-SH-0503-1,2,2,0,5,4,1,0,20
OC-SH-1101-1,2,2,0,7,6,1,0,14.285714285714285
OC-SH-1103-1,2,2,0,6,5,1,0,16.666666666666664
OC-SH-1803-1,2,2,0,11,10,1,0,9.090909090909092
OC-SH-2205-1,2,2,0,6,5,1,0,16.666666666666664
PD-SB-0501-1,2,2,0,15,14,1,0,6.666666666666667
PD-SB-0503-1,2,2,0,9,8,1,0,11.11111111111111
PD-SB-0602-1,2,2,0,10,9,1,0,10
PD-SB-3503-1,2,2,0,7,6,1,0,14.285714285714285
PD-SH-4102-1,1,1,0,2,1,1,0,50
RM-SB-2305-1,2,2,0,7,6,1,0,14.285714285714285
RM-SB-2601-1,2,2,0,14,13,1,0,7.142857142857142
RM-SB-2701-1,2,2,0,5,3,2,0,40
RM-SB-2908-1,2,1,1,19,5,14,50,73.68421052631578
RM-SB-3307-1,2,2,0,15,14,1,0,6.666666666666667
RM-SB-3602-1,1,1,0,4,3,1,0,25
RS-SA-1006-1,2,2,0,8,7,1,0,12.5
RS-SB-1016-1,2,1,1,2,1,1,50,50
RS-SB-1807-1,2,2,0,6,5,1,0,16.666666666666664
RS-SB-2711-1,1,1,0,4,3,1,0,25
RS-SB-2903-1,2,2,0,5,4,1,0,20
RS-SH-0301-1,2,2,0,11,8,3,0,27.27272727272727
SA-SA-3004-1,2,2,0,3,2,1,0,33.33333333333333
SA-SA-3702-1,1,1,0,6,5,1,0,16.666666666666664
SA-SB-3101-1,2,1,1,2,1,1,50,50
SA-SB-3304-1,2,2,0,5,4,1,0,20
SA-SB-3701-1,2,2,0,10,9,1,0,10
SA-SB-3704-1,2,1,1,6,5,1,50,16.666666666666664
SA-SH-1803-1,2,2,0,5,4,1,0,20
SA-SH-3109-1,2,2,0,6,5,1,0,16.666666666666664
SA-SH-3404-1,2,2,0,5,4,1,0,20
SA-SH-3413-1,2,2,0,8,6,2,0,25
SA-SH-4325-1,2,2,0,29,6,23,0,79.3103448275862
SD-SA-4502-1,2,2,0,6,4,2,0,33.33333333333333
SD-SA-4603-1,2,2,0,7,5,2,0,28.57142857142857
SD-SA-4701-1,2,2,0,6,2,4,0,66.66666666666666
SJ-SA-2004-1,2,2,0,9,8,1,0,11.11111111111111
SJ-SA-2309-1,2,2,0,3,2,1,0,33.33333333333333
SJ-SH-3401-1,2,2,0,7,6,1,0,14.285714285714285
SJ-SH-4201-1,2,2,0,3,2,1,0,33.33333333333333
ST-SA-2605-1,2,2,0,7,6,1,0,14.285714285714285
ST-SA-2801-1,2,2,0,13,12,1,0,7.6923076923076925
ST-SA-3206-1,2,2,0,17,13,4,0,23.52941176470588
ST-SA-4308-1,2,1,1,3,2,1,50,33.33333333333333
ST-SB-2602-1,2,2,0,14,13,1,0,7.142857142857142
ST-SB-2605-1,1,1,0,12,11,1,0,8.333333333333332
ST-SB-2721-1,2,2,0,10,8,2,0,20
ST-SB-2802-1,2,1,1,3,2,1,50,33.33333333333333
ST-SB-2910-1,1,1,0,21,5,16,0,76.19047619047619
ST-SB-3401-1,2,2,0,8,7,1,0,12.5
ST-SB-3802-1,2,2,0,5,4,1,0,20
ST-SH-4104-1,1,1,0,3,2,1,0,33.33333333333333
ST-SH-4114-1,2,2,0,3,2,1,0,33.33333333333333
ST-SH-4405-1,2,2,0,8,7,1,0,12.5
ST-SH-4424-1,2,2,0,7,6,1,0,14.285714285714285
ST-SH-4504-1,2,2,0,19,2,17,0,89.47368421052632
TP-SA-1401-1,2,2,0,9,8,1,0,11.11111111111111
TP-SB-2017-1,2,2,0,10,9,1,0,10
TP-SB-2026-1,2,2,0,6,5,1,0,16.666666666666664
TP-SH-0602-1,2,2,0,7,6,1,0,14.285714285714285
TP-SH-1510-1,2,2,0,10,9,1,0,10
TP-SH-5316-1,2,2,0,5,4,1,0,20
