CONTROL,TESTERID,am_indicator_first,STOTUNIT_FIRST,SAVLBAD_FIRST,first_visit_datetime,num_visits,STOTUNIT_TOTAL,SAVLBAD_ANY,was_first_visitor,RACE
AQ-SA-3103-1,AQ022,TRUE,2,1,2012-03-03T14:28:00Z,1,2,1,FALSE,1
AQ-SA-3103-1,AQ085,FALSE,1,1,2012-02-28T19:00:00Z,1,1,1,TRUE,4
AQ-SA-3104-1,AQ091,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-3111-1,AQ037,FALSE,0,0,2012-02-29T20:47:00Z,2,4,0,TRUE,4
AQ-SA-3111-1,AQ101,FALSE,2,1,2012-03-02T17:03:00Z,1,2,1,FALSE,1
AQ-SA-3201-1,AQ037,FALSE,4,0,2012-03-10T17:48:00Z,1,4,0,TRUE,4
AQ-SA-3201-1,AQ101,TRUE,4,0,2012-03-12T14:01:00Z,1,4,0,FALSE,1
AQ-SA-3202-1,AQ085,FALSE,1,1,2012-03-13T16:30:00Z,1,1,1,FALSE,4
AQ-SA-3202-1,AQ097,TRUE,4,1,2012-03-11T15:51:00Z,1,4,1,TRUE,1
AQ-SA-3205-1,AQ091,TRUE,0,0,2012-03-11T14:00:00Z,2,3,0,FALSE,1
AQ-SA-3205-1,AQ094,FALSE,0,0,2012-03-08T18:00:00Z,2,2,0,TRUE,4
AQ-SA-3308-1,AQ091,FALSE,2,0,2012-03-12T20:30:00Z,1,2,0,TRUE,1
AQ-SA-3308-1,AQ094,FALSE,4,0,2012-03-14T19:00:00Z,1,4,0,FALSE,4
AQ-SA-3310-1,AQ008,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-3311-1,AQ094,FALSE,3,1,2012-03-17T18:05:00Z,1,3,1,TRUE,4
AQ-SA-3312-1,AQ008,FALSE,6,0,2012-03-21T16:55:00Z,1,6,0,TRUE,1
AQ-SA-3402-1,AQ091,FALSE,5,1,2012-03-22T17:30:00Z,1,5,1,TRUE,1
AQ-SA-3404-1,AQ085,FALSE,3,1,2012-03-24T18:00:00Z,1,3,1,FALSE,4
AQ-SA-3404-1,AQ097,FALSE,5,0,2012-03-22T21:00:00Z,1,5,0,TRUE,1
AQ-SA-3405-1,AQ037,TRUE,4,1,2012-03-25T15:05:00Z,1,4,1,TRUE,4
AQ-SA-3408-1,AQ085,FALSE,2,1,2012-03-25T17:00:00Z,1,2,1,FALSE,4
AQ-SA-3408-1,AQ101,FALSE,5,1,2012-03-20T16:55:00Z,1,5,1,TRUE,1
AQ-SA-3501-1,AQ085,FALSE,1,1,2012-03-31T19:00:00Z,1,1,1,TRUE,4
AQ-SA-3518-1,AQ097,FALSE,3,1,2012-04-01T20:00:00Z,1,3,1,TRUE,1
AQ-SA-3610-1,AQ094,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-3610-1,AQ111,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-3611-1,AQ037,FALSE,0,0,2012-04-05T18:57:00Z,2,8,1,TRUE,4
AQ-SA-3611-1,AQ097,TRUE,16,1,2012-04-09T14:00:00Z,1,16,1,FALSE,1
AQ-SA-3612-1,AQ094,TRUE,2,1,2012-04-06T14:35:00Z,1,2,1,FALSE,4
AQ-SA-3612-1,AQ111,FALSE,3,1,2012-04-04T17:24:00Z,1,3,1,TRUE,1
AQ-SA-3627-1,AQ085,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-3703-1,AQ085,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-3705-1,AQ037,FALSE,10,1,2012-04-17T17:10:00Z,2,15,1,TRUE,4
AQ-SA-3705-1,AQ097,FALSE,9,1,2012-04-17T21:30:00Z,1,9,1,FALSE,1
AQ-SA-3806-1,AQ091,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-3806-1,AQ094,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-3828-1,AQ037,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-3828-1,AQ097,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-3902-1,AQ091,TRUE,1,0,2012-04-24T15:00:00Z,1,1,0,TRUE,1
AQ-SA-3902-1,AQ094,FALSE,1,1,2012-04-27T16:50:00Z,2,5,1,FALSE,4
AQ-SA-4103-1,AQ091,FALSE,2,0,2012-05-11T19:00:00Z,1,2,0,FALSE,1
AQ-SA-4103-1,AQ094,FALSE,3,0,2012-05-09T21:00:00Z,2,3,0,TRUE,4
AQ-SA-4202-1,AQ091,FALSE,8,0,2012-05-16T18:45:00Z,1,8,0,TRUE,1
AQ-SA-4202-1,AQ094,FALSE,11,0,2012-05-17T18:55:00Z,1,11,0,FALSE,4
AQ-SA-4204-1,AQ094,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-4204-1,AQ135,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-4225-1,AQ037,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-4225-1,AQ097,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-4302-1,AQ091,FALSE,6,0,2012-05-24T19:30:00Z,2,6,0,TRUE,1
AQ-SA-4302-1,AQ094,TRUE,4,1,2012-05-26T13:00:00Z,1,4,1,FALSE,4
AQ-SA-4308-1,AQ091,TRUE,1,1,2012-05-25T14:00:00Z,2,1,1,TRUE,1
AQ-SA-4308-1,AQ094,FALSE,1,1,2012-05-26T17:00:00Z,1,1,1,FALSE,4
AQ-SA-4401-1,AQ037,FALSE,5,1,2012-05-29T16:45:00Z,1,5,1,TRUE,4
AQ-SA-4401-1,AQ101,FALSE,7,1,2012-05-31T18:00:00Z,1,7,1,FALSE,1
AQ-SA-4407-1,AQ037,FALSE,3,1,2012-05-30T18:14:00Z,1,3,1,TRUE,4
AQ-SA-4407-1,AQ101,FALSE,2,1,2012-06-02T16:57:00Z,1,2,1,FALSE,1
AQ-SA-4423-1,AQ094,FALSE,0,0,2012-05-29T19:50:00Z,2,1,1,TRUE,4
AQ-SA-4423-1,AQ128,FALSE,4,1,2012-05-31T17:30:00Z,1,4,1,FALSE,1
AQ-SA-4429-1,AQ094,TRUE,5,1,2012-06-01T14:15:00Z,1,5,1,TRUE,4
AQ-SA-4429-1,AQ128,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-4433-1,AQ085,FALSE,3,1,2012-05-30T17:30:00Z,2,3,1,TRUE,4
AQ-SA-4433-1,AQ112,TRUE,2,1,2012-05-31T14:35:00Z,1,2,1,FALSE,1
AQ-SA-4443-1,AQ085,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-4508-1,AQ037,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-4508-1,AQ101,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-4509-1,AQ085,FALSE,2,1,2012-06-05T20:00:00Z,2,2,1,TRUE,4
AQ-SA-4509-1,AQ112,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-4528-1,AQ101,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-4536-1,AQ085,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-4536-1,AQ112,FALSE,4,1,2012-06-05T16:55:00Z,1,4,1,TRUE,1
AQ-SA-4546-1,AQ085,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-4546-1,AQ112,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-4559-1,AQ085,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-4559-1,AQ112,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-4563-1,AQ091,FALSE,4,1,2012-06-16T18:08:00Z,1,4,1,TRUE,1
AQ-SA-4563-1,AQ094,FALSE,2,1,2012-06-19T18:00:00Z,1,2,1,FALSE,4
AQ-SA-4568-1,AQ091,FALSE,1,1,2012-06-17T16:30:00Z,2,9,1,FALSE,1
AQ-SA-4568-1,AQ094,FALSE,2,1,2012-06-13T17:30:00Z,2,2,1,TRUE,4
AQ-SA-4578-1,AQ085,TRUE,2,0,2012-06-14T13:00:00Z,1,2,0,TRUE,4
AQ-SA-4578-1,AQ112,FALSE,4,0,2012-06-18T17:05:00Z,1,4,0,FALSE,1
AQ-SA-4589-1,AQ085,FALSE,3,1,2012-06-16T18:30:00Z,1,3,1,FALSE,4
AQ-SA-4589-1,AQ112,FALSE,2,1,2012-06-14T18:11:00Z,1,2,1,TRUE,1
AQ-SA-4590-1,AQ091,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-4590-1,AQ094,FALSE,6,1,2012-06-14T21:30:00Z,1,6,1,TRUE,4
AQ-SA-4615-1,AQ037,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-4615-1,AQ123,FALSE,5,1,2012-06-14T17:36:00Z,1,5,1,TRUE,1
AQ-SA-4653-1,AQ085,FALSE,4,0,2012-06-15T18:00:00Z,1,4,0,FALSE,4
AQ-SA-4653-1,AQ112,FALSE,2,0,2012-06-13T16:35:00Z,1,2,0,TRUE,1
AQ-SA-4702-1,AQ037,TRUE,5,0,2012-06-22T14:58:00Z,1,5,0,FALSE,4
AQ-SA-4702-1,AQ112,TRUE,2,1,2012-06-21T15:02:00Z,1,2,1,TRUE,1
AQ-SA-4703-1,AQ037,FALSE,3,0,2012-06-20T20:45:00Z,1,3,0,TRUE,4
AQ-SA-4703-1,AQ125,FALSE,4,1,2012-06-22T19:05:00Z,2,8,1,FALSE,1
AQ-SA-4705-1,AQ037,TRUE,3,0,2012-06-23T15:09:00Z,1,3,0,TRUE,4
AQ-SA-4705-1,AQ125,FALSE,0,0,2012-06-25T16:50:00Z,2,3,0,FALSE,1
AQ-SA-4706-1,AQ091,TRUE,3,1,2012-06-20T15:00:00Z,1,3,1,TRUE,1
AQ-SA-4706-1,AQ094,NA,NA,NA,NA,1,NA,0,NA,4
AQ-SA-4708-1,AQ094,FALSE,2,1,2012-06-22T18:34:00Z,1,2,1,FALSE,4
AQ-SA-4708-1,AQ129,FALSE,4,0,2012-06-19T19:00:00Z,1,4,0,TRUE,1
AQ-SA-4710-1,AQ128,FALSE,6,1,2012-06-21T17:45:00Z,1,6,1,TRUE,1
AQ-SA-4711-1,AQ085,FALSE,4,1,2012-06-20T18:30:00Z,1,4,1,TRUE,4
AQ-SA-4711-1,AQ125,TRUE,4,1,2012-06-23T13:28:00Z,2,8,1,FALSE,1
AQ-SA-4717-1,AQ085,FALSE,2,1,2012-06-19T19:30:00Z,1,2,1,TRUE,4
AQ-SA-4717-1,AQ125,FALSE,0,0,2012-06-21T17:53:00Z,2,3,1,FALSE,1
AQ-SA-4723-1,AQ094,TRUE,0,1,2012-06-20T14:00:00Z,2,5,1,TRUE,4
AQ-SA-4723-1,AQ128,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-4806-1,AQ037,TRUE,4,0,2012-06-29T14:28:00Z,1,4,0,FALSE,4
AQ-SA-4806-1,AQ125,TRUE,3,0,2012-06-29T13:58:00Z,2,7,1,TRUE,1
AQ-SA-4807-1,AQ085,FALSE,6,1,2012-06-28T17:00:00Z,1,6,1,TRUE,4
AQ-SA-4807-1,AQ112,FALSE,1,1,2012-06-30T17:20:00Z,1,1,1,FALSE,1
AQ-SA-4809-1,AQ037,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-4809-1,AQ125,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-4815-1,AQ091,TRUE,1,1,2012-06-30T15:05:00Z,1,1,1,FALSE,1
AQ-SA-4815-1,AQ094,FALSE,1,1,2012-06-26T18:00:00Z,1,1,1,TRUE,4
AQ-SA-4820-1,AQ085,FALSE,3,1,2012-06-29T17:00:00Z,1,3,1,FALSE,4
AQ-SA-4820-1,AQ125,FALSE,4,1,2012-06-26T18:30:00Z,2,8,1,TRUE,1
AQ-SA-4823-1,AQ085,FALSE,3,1,2012-06-26T18:55:00Z,1,3,1,TRUE,4
AQ-SA-4823-1,AQ112,FALSE,1,1,2012-06-27T17:03:00Z,2,1,1,FALSE,1
AQ-SA-4824-1,AQ091,TRUE,11,1,2012-06-27T15:10:00Z,1,11,1,TRUE,1
AQ-SA-4824-1,AQ094,FALSE,3,1,2012-06-28T18:00:00Z,1,3,1,FALSE,4
AQ-SA-4860-1,AQ037,FALSE,4,0,2012-06-26T22:28:00Z,1,4,0,TRUE,4
AQ-SA-4860-1,AQ112,TRUE,2,0,2012-06-30T15:00:00Z,1,2,0,FALSE,1
AQ-SA-4868-1,AQ037,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-4868-1,AQ125,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-4901-1,AQ037,FALSE,5,0,2012-07-10T17:48:00Z,1,5,0,TRUE,4
AQ-SA-4901-1,AQ125,TRUE,0,0,2012-07-12T14:00:00Z,2,4,0,FALSE,1
AQ-SA-4904-1,AQ091,TRUE,6,1,2012-07-11T13:00:00Z,1,6,1,TRUE,1
AQ-SA-4904-1,AQ094,TRUE,6,0,2012-07-12T14:00:00Z,1,6,0,FALSE,4
AQ-SA-4920-1,AQ037,FALSE,4,0,2012-07-11T18:00:00Z,1,4,0,FALSE,4
AQ-SA-4920-1,AQ125,FALSE,6,1,2012-07-09T17:25:00Z,1,6,1,TRUE,1
AQ-SA-5001-1,AQ037,FALSE,6,1,2012-07-13T18:48:00Z,2,6,1,TRUE,4
AQ-SA-5001-1,AQ125,TRUE,1,1,2012-07-16T12:50:00Z,2,5,1,FALSE,1
AQ-SA-5007-1,AQ091,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-5007-1,AQ094,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-5024-1,AQ091,TRUE,10,1,2012-07-13T14:00:00Z,1,10,1,TRUE,1
AQ-SA-5024-1,AQ094,FALSE,5,1,2012-07-14T18:00:00Z,1,5,1,FALSE,4
AQ-SA-5025-1,AQ037,FALSE,4,0,2012-07-17T18:38:00Z,1,4,0,TRUE,4
AQ-SA-5025-1,AQ125,FALSE,1,1,2012-07-18T17:55:00Z,2,6,1,FALSE,1
AQ-SB-0101-1,AQ043,TRUE,0,0,2011-08-11T14:57:00Z,1,0,0,TRUE,2
AQ-SB-0101-1,AQ051,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SB-0201-1,AQ019,FALSE,28,1,2011-08-11T17:55:00Z,1,28,1,TRUE,2
AQ-SB-0301-1,AQ018,NA,NA,NA,NA,1,NA,NA,NA,2
AQ-SB-0402-1,AQ024,FALSE,NA,1,2011-08-24T18:57:00Z,1,NA,1,TRUE,2
AQ-SB-0404-1,AQ058,FALSE,9,1,2011-09-06T16:00:00Z,1,9,1,TRUE,2
AQ-SB-0405-1,AQ029,NA,NA,NA,NA,1,NA,NA,NA,2
AQ-SB-0405-1,AQ064,TRUE,NA,0,2011-08-29T15:43:00Z,1,NA,0,TRUE,1
AQ-SB-0408-1,AQ012,FALSE,0,0,2011-08-26T17:30:00Z,1,0,0,TRUE,1
AQ-SB-0501-1,AQ031,TRUE,0,1,2011-09-01T14:00:00Z,1,0,1,TRUE,2
AQ-SB-0502-1,AQ042,FALSE,2,1,2011-09-01T21:35:00Z,1,2,1,FALSE,1
AQ-SB-0502-1,AQ067,TRUE,7,1,2011-08-30T14:30:00Z,1,7,1,TRUE,2
AQ-SB-0503-1,AQ017,TRUE,0,0,2011-08-31T13:00:00Z,1,0,0,TRUE,1
