"site","dominant_city","dominant_state","outcome","outcome_label","coefficient","coefficient_label","estimate","se","ci_lo","ci_hi","p","observations","trials"
"CH","Chicago","IL","percent_black","Black Share","RACE4","Asian",0.0245922169610347,0.0379758685726854,-0.0507327382926938,0.0999171722147632,0.518714867040782,945,103
"CH","Chicago","IL","percent_hispanic","Hispanic Share","RACE2","African American",-0.0228419591476754,0.0368990243088182,-0.0960309989098128,0.050347080614462,0.537270391744439,945,103
"CH","Chicago","IL","percent_hispanic","Hispanic Share","RACE3","Hispanic",-0.0614461939854618,0.06206537351594,-0.184552568075263,0.0616601801043392,0.324505261680388,945,103
"CH","Chicago","IL","percent_hispanic","Hispanic Share","RACE4","Asian",-0.138560848813024,0.0457041111957959,-0.229214736666716,-0.0479069609593321,0.00308307006043016,945,103
"CH","Chicago","IL","percent_asian","Asian Share","RACE2","African American",0.0222020783966359,0.0227261298711327,-0.02287509244824,0.0672792492415118,0.330909921480499,945,103
"CH","Chicago","IL","percent_asian","Asian Share","RACE3","Hispanic",-0.025279562367098,0.0515793663122671,-0.127586990887158,0.0770278661529617,0.625108638783268,945,103
"CH","Chicago","IL","percent_asian","Asian Share","RACE4","Asian",-0.0346494709566363,0.0224449442483105,-0.0791689114518683,0.0098699695385957,0.125744907394667,945,103
"CL","Lakewood","OH","w2012pc_Rec","White Share","RACE2","African American",-0.0271212267934169,0.294884682195591,-0.611454910202796,0.557212456615963,0.92688581822484,841,112
"CL","Lakewood","OH","w2012pc_Rec","White Share","RACE3","Hispanic",0.0925881866305903,0.0931294136534387,-0.0919539635709412,0.277130336832122,0.322293475846239,841,112
"CL","Lakewood","OH","w2012pc_Rec","White Share","RACE4","Asian",0.0306913706801999,0.301200675652543,-0.566157875401379,0.627540616761778,0.919022472184009,841,112
"CL","Lakewood","OH","percent_black","Black Share","RACE2","African American",0.0541446298350925,0.303273068949341,-0.546811201911006,0.65510046158119,0.858628871244046,841,112
"CL","Lakewood","OH","percent_black","Black Share","RACE3","Hispanic",-0.0535310371127213,0.0605977173651107,-0.173609459398045,0.0665473851726025,0.378938249190528,841,112
"CL","Lakewood","OH","percent_black","Black Share","RACE4","Asian",0.0426203258075709,0.302395996184378,-0.55659752770394,0.641838179319082,0.88817114689421,841,112
"CL","Lakewood","OH","percent_hispanic","Hispanic Share","RACE2","African American",0.0839080673963661,0.0790983476241935,-0.0728305887952902,0.240646723588022,0.291080420376251,841,112
"CL","Lakewood","OH","percent_hispanic","Hispanic Share","RACE3","Hispanic",-0.0413797326488843,0.0394388032351266,-0.119530354078429,0.0367708887806605,0.296358854751522,841,112
"CL","Lakewood","OH","percent_hispanic","Hispanic Share","RACE4","Asian",0.0973642357722352,0.0802300789986652,-0.0616170216890129,0.256345493233483,0.227490713002142,841,112
"CL","Lakewood","OH","percent_asian","Asian Share","RACE2","African American",-0.127627233114489,0.0660501055709205,-0.258509926615113,0.00325546038613453,0.0558735846127131,841,112
"CL","Lakewood","OH","percent_asian","Asian Share","RACE3","Hispanic",0.00476054472535457,0.0159005443219253,-0.0267474453223687,0.0362685347730778,0.765198489750881,841,112
"CL","Lakewood","OH","percent_asian","Asian Share","RACE4","Asian",-0.176927897032886,0.0687455501094292,-0.313151793826558,-0.0407040002392147,0.0113808168303126,841,112
"CO","Columbia","SC","w2012pc_Rec","White Share","RACE2","African American",-0.0337451591355269,0.0175870821086908,-0.0692899779726976,0.00179965970164385,0.062172253239794,377,41
"CO","Columbia","SC","percent_black","Black Share","RACE2","African American",0.101921788129982,0.0166608768214412,0.0682489000052433,0.135594676254721,3.23155062143881e-07,377,41
"CO","Columbia","SC","percent_hispanic","Hispanic Share","RACE2","African American",-0.0664520481213585,0.00326085106080671,-0.073042473951809,-0.0598616222909079,9.82992463686979e-23,377,41
"CO","Columbia","SC","percent_asian","Asian Share","RACE2","African American",0.00941251748217946,0.0020772883540096,0.00521416111132083,0.0136108738530381,5.20320381555569e-05,377,41
"DC","Washington","DC","w2012pc_Rec","White Share","RACE2","African American",-0.027905970672397,0.098189062716833,-0.223036099846831,0.167224158502037,0.776919797719939,659,89
"DC","Washington","DC","w2012pc_Rec","White Share","RACE3","Hispanic",-0.20949940599243,0.11304244588272,-0.434147512990887,0.0151487010060258,0.067193208492859,659,89
"DC","Washington","DC","w2012pc_Rec","White Share","RACE4","Asian",0.0166637206874554,0.060003754421503,-0.102581132326216,0.135908573701127,0.78188538321995,659,89
"DC","Washington","DC","percent_black","Black Share","RACE2","African American",-0.0541872656563583,0.0976929208189798,-0.248331417065671,0.139956885752954,0.580527909015196,659,89
"DC","Washington","DC","percent_black","Black Share","RACE3","Hispanic",0.157766695084713,0.102920363038764,-0.0467658992669666,0.362299289436392,0.128887706252352,659,89
"DC","Washington","DC","percent_black","Black Share","RACE4","Asian",-0.0456521502502541,0.0502254467338082,-0.145464671500969,0.0541603710004607,0.365862030603468,659,89
"DC","Washington","DC","percent_hispanic","Hispanic Share","RACE2","African American",0.0420136969842037,0.0457120372218997,-0.0488293712876628,0.13285676525607,0.3605584084563,659,89
